sample,individual,condition,bam_file,haplotype
Sample48H0,Patient24,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample48_treated_hg38_example.bam,H0
Sample48H1,Patient24,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample48_treated_hg38_example.bam,H1
Sample48H2,Patient24,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample48_treated_hg38_example.bam,H2
Sample49H0,Patient25,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample49_untreated_hg38_example.bam,H0
Sample49H1,Patient25,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample49_untreated_hg38_example.bam,H1
Sample49H2,Patient25,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample49_untreated_hg38_example.bam,H2
Sample50H0,Patient25,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample50_treated_hg38_example.bam,H0
Sample50H1,Patient25,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample50_treated_hg38_example.bam,H1
Sample50H2,Patient25,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample50_treated_hg38_example.bam,H2
Sample51H0,Patient26,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample51_untreated_hg38_example.bam,H0
Sample51H1,Patient26,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample51_untreated_hg38_example.bam,H1
Sample51H2,Patient26,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample51_untreated_hg38_example.bam,H2
Sample52H0,Patient26,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample52_treated_hg38_example.bam,H0
Sample52H1,Patient26,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample52_treated_hg38_example.bam,H1
Sample52H2,Patient26,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample52_treated_hg38_example.bam,H2
Sample53H0,Patient27,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample53_untreated_hg38_example.bam,H0
Sample53H1,Patient27,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample53_untreated_hg38_example.bam,H1
Sample53H2,Patient27,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample53_untreated_hg38_example.bam,H2
Sample54H0,Patient27,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample54_treated_hg38_example.bam,H0
Sample54H1,Patient27,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample54_treated_hg38_example.bam,H1
Sample54H2,Patient27,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample54_treated_hg38_example.bam,H2
Sample55H0,Patient28,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample55_untreated_hg38_example.bam,H0
Sample55H1,Patient28,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample55_untreated_hg38_example.bam,H1
Sample55H2,Patient28,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample55_untreated_hg38_example.bam,H2
Sample56H0,Patient28,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample56_treated_hg38_example.bam,H0
Sample56H1,Patient28,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample56_treated_hg38_example.bam,H1
Sample56H2,Patient28,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample56_treated_hg38_example.bam,H2
Sample57H0,Patient29,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample57_untreated_hg38_example.bam,H0
Sample57H1,Patient29,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample57_untreated_hg38_example.bam,H1
Sample57H2,Patient29,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample57_untreated_hg38_example.bam,H2
Sample58H0,Patient29,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample58_treated_hg38_example.bam,H0
Sample58H1,Patient29,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample58_treated_hg38_example.bam,H1
Sample58H2,Patient29,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample58_treated_hg38_example.bam,H2
Sample59H0,Patient30,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample59_untreated_hg38_example.bam,H0
Sample59H1,Patient30,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample59_untreated_hg38_example.bam,H1
Sample59H2,Patient30,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample59_untreated_hg38_example.bam,H2
Sample60H0,Patient30,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample60_treated_hg38_example.bam,H0
Sample60H1,Patient30,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample60_treated_hg38_example.bam,H1
Sample60H2,Patient30,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample60_treated_hg38_example.bam,H2
Sample61H0,Patient31,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample61_untreated_hg38_example.bam,H0
Sample61H1,Patient31,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample61_untreated_hg38_example.bam,H1
Sample61H2,Patient31,noncyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample61_untreated_hg38_example.bam,H2
Sample62H0,Patient31,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample62_treated_hg38_example.bam,H0
Sample62H1,Patient31,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample62_treated_hg38_example.bam,H1
Sample62H2,Patient31,cyclo,/mmfs1/gscratch/stergachislab/yhhc/projects/IsoRanker/examples/Expression_AllelicImbalance_NMD/Input/bam_files/Sample62_treated_hg38_example.bam,H2
